"station_european_code","component_caption","statistics_year","statistics_average_group","statistic_shortname","statistic_value","station_european_code","country_iso_code","country_name","station_city","longitude","latitude","altitude"
"CH0024A","O3",2012,"day","P50",49.792,"CH0024A","CH","Switzerland","",7.148333,46.138988,460
"CH0042A","O3",2012,"day","P50",48.487,"CH0042A","CH","Switzerland","ST. GALLEN",9.386519,47.428936,660
"CH0019A","O3",2012,"day","P50",74.465,"CH0019A","CH","Switzerland","",9.394333,47.407028,920
"CH0046A","O3",2012,"day","P50",53.758,"CH0046A","CH","Switzerland","GENEVE",6.211264,46.195602,422
"CH0003R","O3",2012,"day","P50",57.358,"CH0003R","CH","Switzerland","",8.904696,47.479767,538
"CH0014A","O3",2012,"day","P50",46.192,"CH0014A","CH","Switzerland","WINTERTHUR",8.731838,47.500225,448
"CH0010A","O3",2012,"day","P50",47.721,"CH0010A","CH","Switzerland","ZÜRICH",8.530419,47.377586,409
"CH0021A","O3",2012,"day","P50",40.896,"CH0021A","CH","Switzerland","ZÜRICH",8.523541,47.370945,415
"CH0013A","O3",2012,"day","P50",43.621,"CH0013A","CH","Switzerland","ZÜRICH",8.539811,47.386765,445
"CY0002R","O3",2012,"day","P50",99.083,"CY0002R","CY","Cyprus","AYIA MARINA",33.05806,35.039165,532
"CY0004A","O3",2012,"day","P50",52.246,"CY0004A","CY","Cyprus","NICOSIA",33.347778,35.151947,170
"CZ0TBKR","O3",2012,"day","P50",65.369,"CZ0TBKR","CZ","Czech Republic","",18.538561,49.502609,890
"CZ0BBNY","O3",2012,"day","P50",49.783,"CZ0BBNY","CZ","Czech Republic","BRNO",16.696217,49.148973,241
"CZ0TCER","O3",2012,"day","P50",69.085,"CZ0TCER","CZ","Czech Republic","",17.541946,49.777142,749
"CZ0CCBD","O3",2012,"day","P50",45.727,"CZ0CCBD","CZ","Czech Republic","CESKE BUDEJOVICE",14.465683,48.984386,383
"CZ0CCHU","O3",2012,"day","P50",72.901,"CZ0CCHU","CZ","Czech Republic","",13.6148,49.068436,1118
"CZ0LFRU","O3",2012,"day","P50",61.396,"CZ0LFRU","CZ","Czech Republic","",15.080289,50.938221,381
"CZ0CHVO","O3",2012,"day","P50",67.298,"CZ0CHVO","CZ","Czech Republic","",14.723383,48.7242,818
"CZ0HHKO","O3",2012,"day","P50",51.745,"CZ0HHKO","CZ","Czech Republic","HRADEC KRALOVE",15.838388,50.177631,276
"CZ0HHKB","O3",2012,"day","P50",43.15,"CZ0HHKB","CZ","Czech Republic","HRADEC KRALOVE",15.846375,50.195366,232
"CZ0MJES","O3",2012,"day","P50",59.551,"CZ0MJES","CZ","Czech Republic","",17.19018,50.242237,625
"CZ0JJIH","O3",2012,"day","P50",49.8,"CZ0JJIH","CZ","Czech Republic","JIHLAVA",15.609909,49.401669,502
"CZ0TKAR","O3",2012,"day","P50",43.707,"CZ0TKAR","CZ","Czech Republic","KARVINA",18.551453,49.863796,238
"CZ0SKLM","O3",2012,"day","P50",50.523,"CZ0SKLM","CZ","Czech Republic","KLADNO",14.101784,50.14386,303
"CZ0CKOC","O3",2012,"day","P50",50.586,"CZ0CKOC","CZ","Czech Republic","",13.838233,49.467243,519
"CZ0JKOS","O3",2012,"day","P50",62.061,"CZ0JKOS","CZ","Czech Republic","",15.080277,49.573395,535
"CZ0JKMY","O3",2012,"day","P50",62.227,"CZ0JKMY","CZ","Czech Republic","",15.439047,49.150154,569
"CZ0HKRY","O3",2012,"day","P50",71.363,"CZ0HKRY","CZ","Czech Republic","",15.85009,50.66044,1001
"CZ0BKUC","O3",2012,"day","P50",63.798,"CZ0BKUC","CZ","Czech Republic","",16.085817,48.881355,334
"CZ0LLIM","O3",2012,"day","P50",44.655,"CZ0LLIM","CZ","Czech Republic","LIBEREC",15.053898,50.764938,350
"CZ0ULTT","O3",2012,"day","P50",50.59,"CZ0ULTT","CZ","Czech Republic","LITOMERICE",14.119409,50.540897,190
"CZ0ULOM","O3",2012,"day","P50",47.172,"CZ0ULOM","CZ","Czech Republic","",13.673418,50.585767,265
"CZ0BMIS","O3",2012,"day","P50",60.665,"CZ0BMIS","CZ","Czech Republic","",16.724497,48.791767,245
"CZ0SMBO","O3",2012,"day","P50",48.437,"CZ0SMBO","CZ","Czech Republic","MADA BOLESLAV",14.913858,50.428646,398
"CZ0UMOM","O3",2012,"day","P50",48.204,"CZ0UMOM","CZ","Czech Republic","MOST",13.645272,50.510365,221
"CZ0SONR","O3",2012,"day","P50",57.922,"CZ0SONR","CZ","Czech Republic","",14.782625,49.913512,514
"CZ0TOVK","O3",2012,"day","P50",49.734,"CZ0TOVK","CZ","Czech Republic","OPAVA",17.909531,49.945992,255
"CZ0TOFF","O3",2012,"day","P50",45.22,"CZ0TOFF","CZ","Czech Republic","OSTRAVA",18.263389,49.839189,220
"CZ0EPAU","O3",2012,"day","P50",46.184,"CZ0EPAU","CZ","Czech Republic","PARDUBICE",15.76355,50.024036,239
"CZ0EPAO","O3",2012,"day","P50",47.107,"CZ0EPAO","CZ","Czech Republic","PARDUBICE",15.739414,50.042198,217
"CZ0ARIE","O3",2012,"day","P50",43.325,"CZ0ARIE","CZ","Czech Republic","PRAHA",14.442692,50.081482,256
"CZ0ALIB","O3",2012,"day","P50",51.382,"CZ0ALIB","CZ","Czech Republic","PRAHA",14.445933,50.007301,301
"CZ0ASMI","O3",2012,"day","P50",34.375,"CZ0ASMI","CZ","Czech Republic","PRAHA",14.398142,50.073135,216
"CZ0ASTO","O3",2012,"day","P50",49.052,"CZ0ASTO","CZ","Czech Republic","PRAGUE",14.331414,50.046131,309
"CZ0ASUC","O3",2012,"day","P50",52.41,"CZ0ASUC","CZ","Czech Republic","PRAHA",14.384639,50.126526,277
"CZ0AVEX","O3",2012,"day","P50",39.353,"CZ0AVEX","CZ","Czech Republic","PRAHA",14.352567,50.097461,286
"CZ0AKOB","O3",2012,"day","P50",46.423,"CZ0AKOB","CZ","Czech Republic","PRAHA",14.467578,50.122189,269
"CZ0AVYN","O3",2012,"day","P50",34.065,"CZ0AVYN","CZ","Czech Republic","PRAGUE",14.503098,50.111084,219
